Title,URL,Date,Content
"Reeling from coronavirus, Asia's poultry farmers battle bird flu outbreak",https://www.reuters.com/article/us-health-birdflu-asia-idUSKBN29J00D&sa=U&ved=2ahUKEwip4vW-q_DxAhWhFjQIHT0fCPE4ChDF9AEwAXoECAkQAQ&usg=AOvVaw00MUaToXTkXBS-nTh2zCc6,2021-02-01,"(This Jan. 13 story corrects title of Filip Claes in para 14 to include region). FILE PHOTO: Chickens are seen at a farm in Hanoi, Vietnam..."
Asean News Headlines as at 9pm on Sunday (July 4),https://www.thestar.com.my/aseanplus/aseanplus-news/2021/07/05/asean-news-headlines-as-at-9pm-on-sunday-july-4&sa=U&ved=2ahUKEwip4vW-q_DxAhWhFjQIHT0fCPE4ChDF9AEwAnoECAgQAQ&usg=AOvVaw1slLvClDCBkfuJ3-y7x1sS,2021-07-05,"Vietnam reports first H5N8 avian flu outbreak in poultry. Govt issues US$1bil aid for workers. Myanmar: Myanmar reports daily record of 2,..."
"News Scan for Jan 07, 2021 | CIDRAP",https://www.cidrap.umn.edu/news-perspective/2021/01/news-scan-jan-07-2021&sa=U&ved=2ahUKEwip4vW-q_DxAhWhFjQIHT0fCPE4ChDF9AEwA3oECAcQAQ&usg=AOvVaw19toYfRIrtp5v8ahn6DtNZ,2021-02-01,"In the latest avian flu outbreak developments, Senegal reported its first appearance of highly pathogenic H5N1 in poultry, India is probing..."
"Bird Flu Outbreak: How Safe Is It To Eat Poultry Meat, Eggs?",https://thewire.in/health/bird-flu-outbreak-how-safe-is-it-to-eat-poultry-meat-eggs&sa=U&ved=2ahUKEwip4vW-q_DxAhWhFjQIHT0fCPE4ChDF9AEwBHoECAAQAQ&usg=AOvVaw1gUyqPeGDKaCVRKTd8yCr9,2021-02-01,Avian influenza continues to take a heavy toll on India's poultry ... cases of H5N1 infection after drinking raw duck blood in Vietnam.).
How to reduce avian flu spread at Asian poultry markets,https://www.wattagnet.com/articles/42864-two-simple-ways-to-reduce-avian-flu-spread-at-asian-poultry-markets&sa=U&ved=2ahUKEwip4vW-q_DxAhWhFjQIHT0fCPE4ChDF9AEwBXoECAUQAQ&usg=AOvVaw1Z4O006amCEFVO4QeHNL7l,2021-05-24,"As recently as one month ago, authorities in Vietnam registered a further 40 outbreaks of highly pathogenic avian influenza (HPAI) in..."
Endangered Species Are Paying the Price of COVID-19 Foreign Policy,https://foreignpolicy.com/2021/07/11/endangered-species-are-paying-the-price-of-covid-19/&sa=U&ved=2ahUKEwip4vW-q_DxAhWhFjQIHT0fCPE4ChDF9AEwBnoECAEQAQ&usg=AOvVaw1Mn9LH0qUWpP-o90MpVsEa,2021-07-12,"Pre-pandemic, a combination of falling prices and rising ... severe acute respiratory syndrome, and bird flu to emerge in the first place."
First known human case of H10N3 influenza in China,https://www.wattagnet.com/articles/42951-first-known-human-case-of-h10n3-influenza-in-china&sa=U&ved=2ahUKEwip4vW-q_DxAhWhFjQIHT0fCPE4ChDF9AEwB3oECAIQAQ&usg=AOvVaw39kLzNSKt_dHUfupWoE0qw,2021-06-21,"These were the first new registered cases of avian flu in Nepal for ... 11 confirmed outbreaks in Vietnam impacting around 16,600 poultry."
H5N1 avian influenza: Laos reports first human case of 2020 ...,http://outbreaknewstoday.com/h5n1-avian-influenza-laos-reports-first-human-case-of-2020/&sa=U&ved=2ahUKEwip4vW-q_DxAhWhFjQIHT0fCPE4ChDF9AEwCHoECAMQAQ&usg=AOvVaw1HlXCTw-0T2OAarGQrtXLn,2020-12-07,"A total of 862 cases of H5N1 influenza have been notified in 17 countries worldwide since 2003. Egypt, Indonesia, and Vietnam have been..."
5 states have reported bird flu outbreak: Here’s all you need to know,https://www.hindustantimes.com/india-news/five-states-report-bird-deaths-here-s-all-you-need-to-know-about-bird-flu/story-NqyfeAoNajPeaY58OCFd5L.html&sa=U&ved=2ahUKEwip4vW-q_DxAhWhFjQIHT0fCPE4ChDF9AEwCXoECAYQAQ&usg=AOvVaw2CJWS8nKJ7A8fytOpTUaCa,2021-02-01,"Bird flu is a highly contagious viral disease caused by Influenza type ... countries -- Cambodia, China, Vietnam and Lao PDR -- since 2003."
Vietnam confirms first H5N8 avian flu outbreak,https://www.agri-pulse.com/articles/16129-vietnam-confirms-first-h5n8-avian-flu-outbreak&sa=U&ved=2ahUKEwiYk4e_q_DxAhV-JzQIHa_EBDQQxfQBMAB6BAgAEAE&usg=AOvVaw0i6MihzSlRgDxAbFDnI84Q,2021-07-05,Vietnam has confirmed the first outbreak of the H5N8 highly pathogenic avian influenza virus in its northern province of Quang Ninh.
Vietnam reports first H5N8 avian flu outbreak in poultry,https://www.reuters.com/world/asia-pacific/vietnam-reports-first-h5n8-avian-flu-outbreak-poultry-2021-07-02/&sa=U&ved=2ahUKEwiYk4e_q_DxAhV-JzQIHa_EBDQQxfQBMAF6BAgIEAE&usg=AOvVaw1M40DPvac3nlcE7G81NzvU,2021-07-05,"Vietnam reports first H5N8 avian flu outbreak in poultry ... HANOI, July 2 (Reuters) - Vietnam on Friday confirmed its first outbreak of H5N8..."
"An ideal public health model? Vietnam’s state-led, preventative, low-cost response to COVID-19",https://www.brookings.edu/blog/order-from-chaos/2021/06/29/an-ideal-public-health-model-vietnams-state-led-preventative-low-cost-response-to-covid-19/&sa=U&ved=2ahUKEwiYk4e_q_DxAhV-JzQIHa_EBDQQxfQBMAJ6BAgJEAE&usg=AOvVaw0i36sb0y-noM5xiyP410DM,2021-06-28,"While Vietnam is experiencing its largest surge of cases yet, ... and avian flu, in addition to an extensive network of centers for disease..."
"News Scan for Jul 06, 2021",https://www.cidrap.umn.edu/news-perspective/2021/07/news-scan-jul-06-2021&sa=U&ved=2ahUKEwiYk4e_q_DxAhV-JzQIHa_EBDQQxfQBMAN6BAgHEAE&usg=AOvVaw0EhtG_LeOmZ2jFGIiol6mw,2021-07-05,"Vietnam recently reported its first highly pathogenic H5N8 avian flu ... In February, Russia reported the first human cases involving H5N8,..."
Ghana culls thousands of chickens amid avian flu outbreak,https://arynews.tv/ghana-culls-chickens-avian-flu/&sa=U&ved=2ahUKEwiYk4e_q_DxAhV-JzQIHa_EBDQQxfQBMAR6BAgBEAE&usg=AOvVaw0o_b__7xA58YzhxXiU7483,2021-07-17,"Avian influenza virus occurs mainly in birds, is highly contagious among birds, and can be deadly, especially in domestic poultry. Since..."
'Sugar Mountain' novel written in 2013 prescient to COVID-19 ...,https://www.recorder.com/LT-Sugar-Mountain-novel-40465695&sa=U&ved=2ahUKEwiYk4e_q_DxAhV-JzQIHa_EBDQQxfQBMAV6BAgEEAE&usg=AOvVaw020apbkJArIXharjEFyGxZ,2021-07-17,"... of Western Massachusetts in the wake of a lethal avian flu outbreak. ... He spoke with a college classmate who served in Vietnam who,..."
Vietnam records new wave of avian flu outbreaks in poultry,https://www.wattagnet.com/articles/42694-vietnam-records-new-wave-of-avian-flu-outbreaks-in-poultry&sa=U&ved=2ahUKEwiYk4e_q_DxAhV-JzQIHa_EBDQQxfQBMAZ6BAgFEAE&usg=AOvVaw3-fq25sWj3yNpRvjrXcO8U,2021-05-24,Vietnam's veterinary authority has retrospectively registered 40 outbreaks of highly pathogenic avian influenza (HPAI) in poultry flocks that...
China's Sichuan reports human case of H5N6 bird flu - state media,https://www.yahoo.com/news/chinas-sichuan-reports-human-case-013921527.html&sa=U&ved=2ahUKEwiYk4e_q_DxAhV-JzQIHa_EBDQQxfQBMAd6BAgCEAE&usg=AOvVaw3KxIvesb9vIjYoJOdycvo4,2021-07-15,"Vietnam has managed to keep coronavirus cases relatively low due to targeted mass testing and strict contact tracing, border controls and..."
Vietnam culls 100000 poultry as avian influenza outbreaks spread,https://www.thepoultrysite.com/news/2021/02/vietnam-culls-100-000-poultry-as-avian-influenza-outbreaks-spread&sa=U&ved=2ahUKEwiYk4e_q_DxAhV-JzQIHa_EBDQQxfQBMAh6BAgDEAE&usg=AOvVaw1UWIjXIksPfRIUbHd84rwd,2021-03-01,"Vietnam culls 100,000 poultry as avian influenza outbreaks spread ... Vietnam has culled more than 100,000 poultry in 2021 to contain the spread..."
"Vietnam culls 100,000 poultry as bird flu outbreaks spread",https://www.thehindu.com/news/international/vietnam-culls-100000-poultry-as-bird-flu-outbreaks-spread/article33780121.ece&sa=U&ved=2ahUKEwiYk4e_q_DxAhV-JzQIHa_EBDQQxfQBMAl6BAgGEAE&usg=AOvVaw3hFc3v4X7Bg6ynCh865Niu,2021-03-01,"The country has reported outbreaks of the highly pathogenic H5N1 and H5N6 bird flu strains in 14 provinces, the government said in a statement..."
Hong Kong suspends poultry imports from regions of Germany ...,https://www.thepoultrysite.com/news/2021/06/hong-kong-suspends-poultry-imports-from-regions-of-germany-lithuania-vietnam-and-south-africa-on-bird-flu-fears&sa=U&ved=2ahUKEwjEqpi_q_DxAhVkDzQIHe1rBi04ChDF9AEwAHoECAUQAQ&usg=AOvVaw1Z62DyKBlVROHaIvcVDmzP,2021-06-21,"... of Germany, Lithuania, Vietnam and South Africa on bird flu fears ... H5N1 avian influenza in Ninh Thuan Province in Vietnam, the CFS..."
"Reeling from coronavirus, Asia's poultry farmers battle bird flu outbreak",https://www.reuters.com/article/us-health-birdflu-asia-idUSKBN29J00D&sa=U&ved=2ahUKEwjEqpi_q_DxAhVkDzQIHe1rBi04ChDF9AEwAXoECAgQAQ&usg=AOvVaw0yMofobiptk_-dKzKChq3F,2021-02-01,"(This Jan. 13 story corrects title of Filip Claes in para 14 to include region). FILE PHOTO: Chickens are seen at a farm in Hanoi, Vietnam..."
Asean News Headlines as at 9pm on Sunday (July 4),https://www.thestar.com.my/aseanplus/aseanplus-news/2021/07/05/asean-news-headlines-as-at-9pm-on-sunday-july-4&sa=U&ved=2ahUKEwjEqpi_q_DxAhVkDzQIHe1rBi04ChDF9AEwAnoECAkQAQ&usg=AOvVaw37MBtPRJqf1FiCiKGupxX_,2021-07-05,"Vietnam reports first H5N8 avian flu outbreak in poultry. Govt issues US$1bil aid for workers. Myanmar: Myanmar reports daily record of 2,..."
"News Scan for Jan 07, 2021 | CIDRAP",https://www.cidrap.umn.edu/news-perspective/2021/01/news-scan-jan-07-2021&sa=U&ved=2ahUKEwjEqpi_q_DxAhVkDzQIHe1rBi04ChDF9AEwA3oECAcQAQ&usg=AOvVaw1_mmGD_o9y_y99LM_Sz_Ei,2021-02-01,"In the latest avian flu outbreak developments, Senegal reported its first appearance of highly pathogenic H5N1 in poultry, India is probing..."
"Bird Flu Outbreak: How Safe Is It To Eat Poultry Meat, Eggs?",https://thewire.in/health/bird-flu-outbreak-how-safe-is-it-to-eat-poultry-meat-eggs&sa=U&ved=2ahUKEwjEqpi_q_DxAhVkDzQIHe1rBi04ChDF9AEwBHoECAMQAQ&usg=AOvVaw3PmyObq5wlSCNBWS8-M9Qu,2021-02-01,Avian influenza continues to take a heavy toll on India's poultry ... cases of H5N1 infection after drinking raw duck blood in Vietnam.).
How to reduce avian flu spread at Asian poultry markets,https://www.wattagnet.com/articles/42864-two-simple-ways-to-reduce-avian-flu-spread-at-asian-poultry-markets&sa=U&ved=2ahUKEwjEqpi_q_DxAhVkDzQIHe1rBi04ChDF9AEwBXoECAIQAQ&usg=AOvVaw3pGsDKvwhj0JNuES9ZuBef,2021-05-24,"As recently as one month ago, authorities in Vietnam registered a further 40 outbreaks of highly pathogenic avian influenza (HPAI) in..."
Endangered Species Are Paying the Price of COVID-19 Foreign Policy,https://foreignpolicy.com/2021/07/11/endangered-species-are-paying-the-price-of-covid-19/&sa=U&ved=2ahUKEwjEqpi_q_DxAhVkDzQIHe1rBi04ChDF9AEwBnoECAQQAQ&usg=AOvVaw1VMswhr_t9pOl4OAC1Pws0,2021-07-12,"Pre-pandemic, a combination of falling prices and rising ... severe acute respiratory syndrome, and bird flu to emerge in the first place."
First known human case of H10N3 influenza in China,https://www.wattagnet.com/articles/42951-first-known-human-case-of-h10n3-influenza-in-china&sa=U&ved=2ahUKEwjEqpi_q_DxAhVkDzQIHe1rBi04ChDF9AEwB3oECAAQAQ&usg=AOvVaw0Es9DeKZ7SEyyWQESjGOa3,2021-06-21,"These were the first new registered cases of avian flu in Nepal for ... 11 confirmed outbreaks in Vietnam impacting around 16,600 poultry."
H5N1 avian influenza: Laos reports first human case of 2020 ...,http://outbreaknewstoday.com/h5n1-avian-influenza-laos-reports-first-human-case-of-2020/&sa=U&ved=2ahUKEwjEqpi_q_DxAhVkDzQIHe1rBi04ChDF9AEwCHoECAEQAQ&usg=AOvVaw2YrhsK_7D3h6HEJ_HnAJyi,2020-12-07,"A total of 862 cases of H5N1 influenza have been notified in 17 countries worldwide since 2003. Egypt, Indonesia, and Vietnam have been..."
5 states have reported bird flu outbreak: Here’s all you need to know,https://www.hindustantimes.com/india-news/five-states-report-bird-deaths-here-s-all-you-need-to-know-about-bird-flu/story-NqyfeAoNajPeaY58OCFd5L.html&sa=U&ved=2ahUKEwjEqpi_q_DxAhVkDzQIHe1rBi04ChDF9AEwCXoECAYQAQ&usg=AOvVaw3hnMyrwNbMBTXcQTd39ZIQ,2021-02-01,"Bird flu is a highly contagious viral disease caused by Influenza type ... countries -- Cambodia, China, Vietnam and Lao PDR -- since 2003."
Vietnam confirms first H5N8 avian flu outbreak,https://www.agri-pulse.com/articles/16129-vietnam-confirms-first-h5n8-avian-flu-outbreak&sa=U&ved=2ahUKEwjtkqm_q_DxAhXxIDQIHVK7DhoQxfQBMAB6BAgFEAE&usg=AOvVaw0uRmORWCSJtDcQ_sQDqWXi,2021-07-05,Vietnam has confirmed the first outbreak of the H5N8 highly pathogenic avian influenza virus in its northern province of Quang Ninh.
Vietnam reports first H5N8 avian flu outbreak in poultry,https://www.reuters.com/world/asia-pacific/vietnam-reports-first-h5n8-avian-flu-outbreak-poultry-2021-07-02/&sa=U&ved=2ahUKEwjtkqm_q_DxAhXxIDQIHVK7DhoQxfQBMAF6BAgHEAE&usg=AOvVaw1tll7dP70Bxj_E94K2INqM,2021-07-05,"Vietnam reports first H5N8 avian flu outbreak in poultry ... HANOI, July 2 (Reuters) - Vietnam on Friday confirmed its first outbreak of H5N8..."
"An ideal public health model? Vietnam’s state-led, preventative, low-cost response to COVID-19",https://www.brookings.edu/blog/order-from-chaos/2021/06/29/an-ideal-public-health-model-vietnams-state-led-preventative-low-cost-response-to-covid-19/&sa=U&ved=2ahUKEwjtkqm_q_DxAhXxIDQIHVK7DhoQxfQBMAJ6BAgJEAE&usg=AOvVaw2bc407KRCHIV9gFsGfShAt,2021-06-28,"While Vietnam is experiencing its largest surge of cases yet, ... and avian flu, in addition to an extensive network of centers for disease..."
"News Scan for Jul 06, 2021",https://www.cidrap.umn.edu/news-perspective/2021/07/news-scan-jul-06-2021&sa=U&ved=2ahUKEwjtkqm_q_DxAhXxIDQIHVK7DhoQxfQBMAN6BAgIEAE&usg=AOvVaw0vRWy4bZQIgM0vlx6V11Ul,2021-07-05,"Vietnam recently reported its first highly pathogenic H5N8 avian flu ... In February, Russia reported the first human cases involving H5N8,..."
Ghana culls thousands of chickens amid avian flu outbreak,https://arynews.tv/ghana-culls-chickens-avian-flu/&sa=U&ved=2ahUKEwjtkqm_q_DxAhXxIDQIHVK7DhoQxfQBMAR6BAgCEAE&usg=AOvVaw3yTB-nBa_b5dcPPkFP6BPi,2021-07-17,"Avian influenza virus occurs mainly in birds, is highly contagious among birds, and can be deadly, especially in domestic poultry. Since..."
'Sugar Mountain' novel written in 2013 prescient to COVID-19 ...,https://www.recorder.com/LT-Sugar-Mountain-novel-40465695&sa=U&ved=2ahUKEwjtkqm_q_DxAhXxIDQIHVK7DhoQxfQBMAV6BAgBEAE&usg=AOvVaw17aIGKiflFreNok5x2bH5-,2021-07-17,"... of Western Massachusetts in the wake of a lethal avian flu outbreak. ... He spoke with a college classmate who served in Vietnam who,..."
Vietnam records new wave of avian flu outbreaks in poultry,https://www.wattagnet.com/articles/42694-vietnam-records-new-wave-of-avian-flu-outbreaks-in-poultry&sa=U&ved=2ahUKEwjtkqm_q_DxAhXxIDQIHVK7DhoQxfQBMAZ6BAgAEAE&usg=AOvVaw0zCKb10MX12_wJBDnpRsTi,2021-05-24,Vietnam's veterinary authority has retrospectively registered 40 outbreaks of highly pathogenic avian influenza (HPAI) in poultry flocks that...
China's Sichuan reports human case of H5N6 bird flu - state media,https://www.yahoo.com/news/chinas-sichuan-reports-human-case-013921527.html&sa=U&ved=2ahUKEwjtkqm_q_DxAhXxIDQIHVK7DhoQxfQBMAd6BAgGEAE&usg=AOvVaw0mPTe8E8BTMIoEtdOo8LwD,2021-07-15,"Vietnam has managed to keep coronavirus cases relatively low due to targeted mass testing and strict contact tracing, border controls and..."
Vietnam culls 100000 poultry as avian influenza outbreaks spread,https://www.thepoultrysite.com/news/2021/02/vietnam-culls-100-000-poultry-as-avian-influenza-outbreaks-spread&sa=U&ved=2ahUKEwjtkqm_q_DxAhXxIDQIHVK7DhoQxfQBMAh6BAgDEAE&usg=AOvVaw0dY4HuFJoPDJDsMhvFVImI,2021-03-01,"Vietnam culls 100,000 poultry as avian influenza outbreaks spread ... Vietnam has culled more than 100,000 poultry in 2021 to contain the spread..."
"Vietnam culls 100,000 poultry as bird flu outbreaks spread",https://www.thehindu.com/news/international/vietnam-culls-100000-poultry-as-bird-flu-outbreaks-spread/article33780121.ece&sa=U&ved=2ahUKEwjtkqm_q_DxAhXxIDQIHVK7DhoQxfQBMAl6BAgEEAE&usg=AOvVaw04QeTAk4s-k58PZSkQPGxM,2021-03-01,"The country has reported outbreaks of the highly pathogenic H5N1 and H5N6 bird flu strains in 14 provinces, the government said in a statement..."
Hong Kong suspends poultry imports from regions of Germany ...,https://www.thepoultrysite.com/news/2021/06/hong-kong-suspends-poultry-imports-from-regions-of-germany-lithuania-vietnam-and-south-africa-on-bird-flu-fears&sa=U&ved=2ahUKEwjT4rm_q_DxAhWDITQIHbi_COs4ChDF9AEwAHoECAYQAQ&usg=AOvVaw1xDrqVnEYPD4V2dCRVYY4S,2021-06-21,"... of Germany, Lithuania, Vietnam and South Africa on bird flu fears ... H5N1 avian influenza in Ninh Thuan Province in Vietnam, the CFS..."
"Reeling from coronavirus, Asia's poultry farmers battle bird flu outbreak",https://www.reuters.com/article/us-health-birdflu-asia-idUSKBN29J00D&sa=U&ved=2ahUKEwjT4rm_q_DxAhWDITQIHbi_COs4ChDF9AEwAXoECAgQAQ&usg=AOvVaw3MRKp_E5OTlkbk6vsoHo-N,2021-02-01,"(This Jan. 13 story corrects title of Filip Claes in para 14 to include region). FILE PHOTO: Chickens are seen at a farm in Hanoi, Vietnam..."
Asean News Headlines as at 9pm on Sunday (July 4),https://www.thestar.com.my/aseanplus/aseanplus-news/2021/07/05/asean-news-headlines-as-at-9pm-on-sunday-july-4&sa=U&ved=2ahUKEwjT4rm_q_DxAhWDITQIHbi_COs4ChDF9AEwAnoECAkQAQ&usg=AOvVaw3fnH4D465NvQXrkIb8S8Qd,2021-07-05,"Vietnam reports first H5N8 avian flu outbreak in poultry. Govt issues US$1bil aid for workers. Myanmar: Myanmar reports daily record of 2,..."
"News Scan for Jan 07, 2021 | CIDRAP",https://www.cidrap.umn.edu/news-perspective/2021/01/news-scan-jan-07-2021&sa=U&ved=2ahUKEwjT4rm_q_DxAhWDITQIHbi_COs4ChDF9AEwA3oECAcQAQ&usg=AOvVaw0rajCDA681FnOQxIPV-uKj,2021-02-01,"In the latest avian flu outbreak developments, Senegal reported its first appearance of highly pathogenic H5N1 in poultry, India is probing..."
"Bird Flu Outbreak: How Safe Is It To Eat Poultry Meat, Eggs?",https://thewire.in/health/bird-flu-outbreak-how-safe-is-it-to-eat-poultry-meat-eggs&sa=U&ved=2ahUKEwjT4rm_q_DxAhWDITQIHbi_COs4ChDF9AEwBHoECAUQAQ&usg=AOvVaw1TFHs-nCZJjfIoL5fdtgHc,2021-02-01,Avian influenza continues to take a heavy toll on India's poultry ... cases of H5N1 infection after drinking raw duck blood in Vietnam.).
How to reduce avian flu spread at Asian poultry markets,https://www.wattagnet.com/articles/42864-two-simple-ways-to-reduce-avian-flu-spread-at-asian-poultry-markets&sa=U&ved=2ahUKEwjT4rm_q_DxAhWDITQIHbi_COs4ChDF9AEwBXoECAMQAQ&usg=AOvVaw20ELAdWCmd4AI3bluLkYXe,2021-05-24,"As recently as one month ago, authorities in Vietnam registered a further 40 outbreaks of highly pathogenic avian influenza (HPAI) in..."
Endangered Species Are Paying the Price of COVID-19 Foreign Policy,https://foreignpolicy.com/2021/07/11/endangered-species-are-paying-the-price-of-covid-19/&sa=U&ved=2ahUKEwjT4rm_q_DxAhWDITQIHbi_COs4ChDF9AEwBnoECAQQAQ&usg=AOvVaw3z77WdCD15BDRBzTkJLWpj,2021-07-12,"Pre-pandemic, a combination of falling prices and rising ... severe acute respiratory syndrome, and bird flu to emerge in the first place."
First known human case of H10N3 influenza in China,https://www.wattagnet.com/articles/42951-first-known-human-case-of-h10n3-influenza-in-china&sa=U&ved=2ahUKEwjT4rm_q_DxAhWDITQIHbi_COs4ChDF9AEwB3oECAEQAQ&usg=AOvVaw1LmMT14gucuiAJ4s6Eyqi_,2021-06-21,"These were the first new registered cases of avian flu in Nepal for ... 11 confirmed outbreaks in Vietnam impacting around 16,600 poultry."
H5N1 avian influenza: Laos reports first human case of 2020 ...,http://outbreaknewstoday.com/h5n1-avian-influenza-laos-reports-first-human-case-of-2020/&sa=U&ved=2ahUKEwjT4rm_q_DxAhWDITQIHbi_COs4ChDF9AEwCHoECAIQAQ&usg=AOvVaw3YAIhHW_LbGhQH9LEqSf5h,2020-12-07,"A total of 862 cases of H5N1 influenza have been notified in 17 countries worldwide since 2003. Egypt, Indonesia, and Vietnam have been..."
5 states have reported bird flu outbreak: Here’s all you need to know,https://www.hindustantimes.com/india-news/five-states-report-bird-deaths-here-s-all-you-need-to-know-about-bird-flu/story-NqyfeAoNajPeaY58OCFd5L.html&sa=U&ved=2ahUKEwjT4rm_q_DxAhWDITQIHbi_COs4ChDF9AEwCXoECAAQAQ&usg=AOvVaw1ROmIjgNKIk6UITrU-F-Wy,2021-02-01,"Bird flu is a highly contagious viral disease caused by Influenza type ... countries -- Cambodia, China, Vietnam and Lao PDR -- since 2003."
Vietnam confirms first H5N8 avian flu outbreak,https://www.agri-pulse.com/articles/16129-vietnam-confirms-first-h5n8-avian-flu-outbreak&sa=U&ved=2ahUKEwigs8q_q_DxAhW3FTQIHRF2D_EQxfQBMAB6BAgBEAE&usg=AOvVaw3EIke4voVzow7OsCl1HLA6,2021-07-05,Vietnam has confirmed the first outbreak of the H5N8 highly pathogenic avian influenza virus in its northern province of Quang Ninh.
